,Név,Típus,Megye,Kistérség,Nép.,Irsz.
2891,Tököl,város,Pest,Ráckevei,9056,2316
2892,Töltéstava,község,Győr-Moson-Sopron,Győri,1879,9086
2893,Tömörd,község,Vas,Csepregi,281,9738
2894,Tömörkény,község,Csongrád,Csongrádi,1969,6646
2895,Törökbálint,város,Pest,Budaörsi,11798,2045
2896,Törökkoppány,község,Somogy,Tabi,491,7285
2897,Törökszentmiklós,város,Jász-Nagykun-Szolnok,Törökszentmiklósi,22962,5200
2898,Törtel,község,Pest,Ceglédi,4546,2747
2899,Töttös,község,Baranya,Mohácsi,618,7755
2900,Trizs,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,278,3724
2901,Tunyogmatolcs,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,2636,4731
2902,Tura,város,Pest,Aszódi,8001,2194
2903,Túristvándi,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,771,4944
2904,Túrkeve,város,Jász-Nagykun-Szolnok,Mezőtúri,10047,5420
2905,Túrony,község,Baranya,Siklósi,271,7811
2906,Túrricse,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,674,4968
2907,Tuzsér,nagyközség,Szabolcs-Szatmár-Bereg,Kisvárdai,3373,4623
2908,Türje,község,Zala,Zalaszentgróti,1912,8796
2909,Tüskevár,község,Veszprém,Ajkai,570,8477
2910,Tyukod,nagyközség,Szabolcs-Szatmár-Bereg,Csengeri,2142,4762
2911,Udvar,község,Baranya,Mohácsi,181,7718
2912,Udvari,község,Tolna,Tamási,515,7066
2913,Ugod,község,Veszprém,Pápai,1528,8564
2914,Újbarok,község,Fejér,Bicskei,350,2066
2915,Újcsanálos,község,Borsod-Abaúj-Zemplén,Szerencsi,881,3716
2916,Újdombrád,község,Szabolcs-Szatmár-Bereg,Kisvárdai,693,4491
2917,Újfehértó,város,Szabolcs-Szatmár-Bereg,Nagykállói,13722,4244
2918,Újhartyán,város,Pest,Dabasi,2742,2367
2919,Újiráz,község,Hajdú-Bihar,Berettyóújfalui,576,4146
2920,Újireg,község,Tolna,Tamási,371,7095
2921,Újkenéz,község,Szabolcs-Szatmár-Bereg,Kisvárdai,1075,4635
2922,Újkér,község,Győr-Moson-Sopron,Sopron–Fertődi,1079,9472
2923,Újkígyós,város,Békés,Gyulai,5686,5661
2924,Újlengyel,község,Pest,Dabasi,1733,2724
2925,Újléta,község,Hajdú-Bihar,Hajdúhadházi,1093,4288
2926,Újlőrincfalva,község,Heves,Füzesabonyi,276,3387
2927,Újpetre,község,Baranya,Siklósi,1172,7766
2928,Újrónafő,község,Győr-Moson-Sopron,Mosonmagyaróvári,829,9244
2929,Újsolt,község,Bács-Kiskun,Kunszentmiklósi,172,6320
2930,Újszalonta,község,Békés,Sarkadi,157,5727
2931,Újszász,város,Jász-Nagykun-Szolnok,Szolnoki,6951,5052
2932,Újszentiván,község,Csongrád,Szegedi,1588,6754
2933,Újszentmargita,község,Hajdú-Bihar,Polgári,1591,4065
2934,Újszilvás,község,Pest,Ceglédi,2663,2768
2935,Újtelek,község,Bács-Kiskun,Kalocsai,497,6337
2936,Újtikos,község,Hajdú-Bihar,Polgári,956,4096
2937,Újudvar,község,Zala,Nagykanizsai,1009,9200
2938,Újvárfalva,község,Somogy,Kaposvári,389,7436
2939,Ukk,község,Veszprém,Sümegi,356,8347
2940,Und,község,Győr-Moson-Sopron,Sopron–Fertődi,347,9464
2941,Úny,község,Komárom-Esztergom,Dorogi,650,2528
2942,Uppony,község,Borsod-Abaúj-Zemplén,Ózdi,392,3622
2943,Ura,község,Szabolcs-Szatmár-Bereg,Csengeri,739,4763
2944,Uraiújfalu,község,Vas,Sárvári,932,9651
2945,Úrhida,község,Fejér,Székesfehérvári,1680,8142
2946,Úri,község,Pest,Monori,2669,2244
2947,Úrkút,község,Veszprém,Ajkai,2219,8409
2948,Uszka,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,333,4952
2949,Uszód,község,Bács-Kiskun,Kalocsai,1096,6332
2950,Uzsa,község,Veszprém,Tapolcai,365,8321
2951,Üllés,nagyközség,Csongrád,Mórahalmi,3213,6794
2952,Üllő,város,Pest,Gyáli,10016,2225
2953,Üröm,község,Pest,Pilisvörösvári,4904,2096
2954,Vác,város,Pest,Váci,33518,2600
2955,Vácduka,község,Pest,Váci,1019,2167
2956,Vácegres,község,Pest,Veresegyházi,898,2184
2957,Váchartyán,község,Pest,Váci,1758,2164
2958,Váckisújfalu,község,Pest,Veresegyházi,478,2185
2959,Vácrátót,község,Pest,Veresegyházi,1691,2163
2960,Vácszentlászló,község,Pest,Gödöllői,2013,2115
2961,Vadna,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,601,3636
2962,Vadosfa,község,Győr-Moson-Sopron,Kapuvári,84,9346
2963,Vág,község,Győr-Moson-Sopron,Csornai,566,9327
2964,Vágáshuta,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,114,3992
2965,Vaja,város,Szabolcs-Szatmár-Bereg,Mátészalkai,3798,4562
2966,Vajdácska,község,Borsod-Abaúj-Zemplén,Sárospataki,1401,3961
2967,Vajszló,nagyközség,Baranya,Sellyei,1879,7838
2968,Vajta,község,Fejér,Sárbogárdi,963,7041
2969,Vál,község,Fejér,Bicskei,2390,2473
